Week_Start,Week_Number,Month,Quarter,Campaign_ID,Product,Category,Brand,Region,Account,Store_Count,Promo_Flag,Promo_Type,Promo_Depth_Band,Promo_Objective,Retailer_Support,Baseline_Units,Actual_Units,Uplift_Units,Uplift_Pct,Regular_Price,Promo_Price,Discount_Pct,Unit_Cost,Selling_Price,Baseline_Revenue,Actual_Revenue,Incremental_Revenue_From_Uplift,Revenue_Impact_vs_Baseline,Baseline_Gross_Profit,Gross_Profit_Before_Promo_Cost,Incremental_Gross_Profit_Before_Cost,Promo_Cost,Incremental_Profit_After_Promo_Cost,Promo_ROI,Baseline_Gross_Margin_Pct,Actual_Gross_Margin_Pct,Margin_Impact_pp,Rate_of_Sale_Units_per_Store_per_Week,Cannibalisation_Rate_Estimate,Cannibalised_Units_Estimate,Cannibalisation_Risk,Recommendation,Sales_Action,Buyer_Message
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,WA,Coles,64,0,No Promo,No Promo,Baseline trading,None,873,879,6,0.0069,3.2,3.2,0.0,1.05,3.2,2793.6,2812.8,19.2,19.2,1876.95,1889.85,12.9,0.0,12.9,,0.6719,0.6719,0.0,13.7344,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,WA,Independent,41,0,No Promo,No Promo,Baseline trading,None,467,472,5,0.0107,3.2,3.2,0.0,1.05,3.2,1494.4,1510.4,16.0,16.0,1004.05,1014.8,10.75,0.0,10.75,,0.6719,0.6719,0.0,11.5122,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1001,Sparkling Water 1L,Beverages,FreshFizz,SA,Woolworths,54,1,Price Discount,20-25%,Defend share,Shelf price ticket,626,1336,710,1.1342,3.2,2.56,0.2,1.05,2.56,2003.2,3420.16,1817.6,1416.96,1345.9,2017.36,671.46,323.0054,348.4546,1.0788,0.6719,0.5898,-8.2031,24.7407,0.097,68.8849,Low,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Sparkling Water 1L,Beverages,FreshFizz,SA,Coles,48,0,No Promo,No Promo,Baseline trading,None,702,673,-29,-0.0413,3.2,3.2,0.0,1.05,3.2,2246.4,2153.6,0.0,-92.8,1509.3,1446.95,-62.35,0.0,-62.35,,0.6719,0.6719,0.0,14.0208,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1002,Sparkling Water 1L,Beverages,FreshFizz,SA,Independent,34,1,Display + Discount,20-25%,Win display execution,Display + catalogue,317,856,539,1.7003,3.2,2.4,0.25,1.05,2.4,1014.4,2054.4,1293.6,1040.0,681.55,1155.6,474.05,607.3546,-133.3046,-0.2195,0.6719,0.5625,-10.9375,25.1765,0.123,66.3148,Medium,Adjust depth/mechanic,"Reduce discount depth, change mechanic, or seek better retailer funding",Volume response was not enough to protect margin after promo cost
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,NSW,Woolworths,116,0,No Promo,No Promo,Baseline trading,None,1568,1595,27,0.0172,4.0,4.0,0.0,1.25,4.0,6272.0,6380.0,108.0,108.0,4312.0,4386.25,74.25,0.0,74.25,,0.6875,0.6875,0.0,13.75,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,NSW,Coles,107,0,No Promo,No Promo,Baseline trading,None,1505,1524,19,0.0126,4.0,4.0,0.0,1.25,4.0,6020.0,6096.0,76.0,76.0,4138.75,4191.0,52.25,0.0,52.25,,0.6875,0.6875,0.0,14.243,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,NSW,Independent,72,0,No Promo,No Promo,Baseline trading,None,824,803,-21,-0.0255,4.0,4.0,0.0,1.25,4.0,3296.0,3212.0,0.0,-84.0,2266.0,2208.25,-57.75,0.0,-57.75,,0.6875,0.6875,0.0,11.1528,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1003,Cola 1.25L,Beverages,FizzCo,VIC,Woolworths,101,1,Price Discount,10-15%,Drive volume,Shelf price ticket,1257,1791,534,0.4248,4.0,3.6,0.1,1.25,3.6,5028.0,6447.6,1922.4,1419.6,3456.75,4208.85,752.1,279.9853,472.1147,1.6862,0.6875,0.6528,-3.4722,17.7327,0.0974,52.0354,Low,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,VIC,Coles,91,0,No Promo,No Promo,Baseline trading,None,1299,1391,92,0.0708,4.0,4.0,0.0,1.25,4.0,5196.0,5564.0,368.0,368.0,3572.25,3825.25,253.0,0.0,253.0,,0.6875,0.6875,0.0,15.2857,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,VIC,Independent,60,0,No Promo,No Promo,Baseline trading,None,687,648,-39,-0.0568,4.0,4.0,0.0,1.25,4.0,2748.0,2592.0,0.0,-156.0,1889.25,1782.0,-107.25,0.0,-107.25,,0.6875,0.6875,0.0,10.8,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1004,Cola 1.25L,Beverages,FizzCo,QLD,Woolworths,93,1,Price Discount,20-25%,Defend share,Shelf price ticket,1165,2878,1713,1.4704,4.0,3.0,0.25,1.25,3.0,4660.0,8634.0,5139.0,3974.0,3203.75,5036.5,1832.75,589.9348,1242.8152,2.1067,0.6875,0.5833,-10.4167,30.9462,0.0835,142.9558,Low,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,QLD,Coles,81,0,No Promo,No Promo,Baseline trading,None,1323,1237,-86,-0.065,4.0,4.0,0.0,1.25,4.0,5292.0,4948.0,0.0,-344.0,3638.25,3401.75,-236.5,0.0,-236.5,,0.6875,0.6875,0.0,15.2716,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,QLD,Independent,50,0,No Promo,No Promo,Baseline trading,None,626,620,-6,-0.0096,4.0,4.0,0.0,1.25,4.0,2504.0,2480.0,0.0,-24.0,1721.5,1705.0,-16.5,0.0,-16.5,,0.6875,0.6875,0.0,12.4,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1005,Cola 1.25L,Beverages,FizzCo,WA,Woolworths,67,1,Multi-buy,20-25%,Increase basket size,Multi-buy shelf execution,951,1893,942,0.9905,4.0,3.2,0.2,1.25,3.2,3804.0,6057.6,3014.4,2253.6,2615.25,3691.35,1076.1,257.2541,818.8459,3.183,0.6875,0.6094,-7.8125,28.2537,0.1018,95.8491,Medium,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,WA,Coles,64,0,No Promo,No Promo,Baseline trading,None,1022,1070,48,0.047,4.0,4.0,0.0,1.25,4.0,4088.0,4280.0,192.0,192.0,2810.5,2942.5,132.0,0.0,132.0,,0.6875,0.6875,0.0,16.7188,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,WA,Independent,41,0,No Promo,No Promo,Baseline trading,None,482,504,22,0.0456,4.0,4.0,0.0,1.25,4.0,1928.0,2016.0,88.0,88.0,1325.5,1386.0,60.5,0.0,60.5,,0.6875,0.6875,0.0,12.2927,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,SA,Woolworths,55,0,No Promo,No Promo,Baseline trading,None,806,849,43,0.0533,4.0,4.0,0.0,1.25,4.0,3224.0,3396.0,172.0,172.0,2216.5,2334.75,118.25,0.0,118.25,,0.6875,0.6875,0.0,15.4364,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,SA,Coles,54,0,No Promo,No Promo,Baseline trading,None,839,822,-17,-0.0203,4.0,4.0,0.0,1.25,4.0,3356.0,3288.0,0.0,-68.0,2307.25,2260.5,-46.75,0.0,-46.75,,0.6875,0.6875,0.0,15.2222,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Cola 1.25L,Beverages,FizzCo,SA,Independent,32,0,No Promo,No Promo,Baseline trading,None,347,356,9,0.0259,4.0,4.0,0.0,1.25,4.0,1388.0,1424.0,36.0,36.0,954.25,979.0,24.75,0.0,24.75,,0.6875,0.6875,0.0,11.125,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,NSW,Woolworths,115,0,No Promo,No Promo,Baseline trading,None,603,617,14,0.0232,9.5,9.5,0.0,3.7,9.5,5728.5,5861.5,133.0,133.0,3497.4,3578.6,81.2,0.0,81.2,,0.6105,0.6105,0.0,5.3652,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,NSW,Coles,106,0,No Promo,No Promo,Baseline trading,None,601,614,13,0.0216,9.5,9.5,0.0,3.7,9.5,5709.5,5833.0,123.5,123.5,3485.8,3561.2,75.4,0.0,75.4,,0.6105,0.6105,0.0,5.7925,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,NSW,Independent,73,0,No Promo,No Promo,Baseline trading,None,347,355,8,0.0231,9.5,9.5,0.0,3.7,9.5,3296.5,3372.5,76.0,76.0,2012.6,2059.0,46.4,0.0,46.4,,0.6105,0.6105,0.0,4.863,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,VIC,Woolworths,101,0,No Promo,No Promo,Baseline trading,None,554,579,25,0.0451,9.5,9.5,0.0,3.7,9.5,5263.0,5500.5,237.5,237.5,3213.2,3358.2,145.0,0.0,145.0,,0.6105,0.6105,0.0,5.7327,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,VIC,Coles,96,0,No Promo,No Promo,Baseline trading,None,433,452,19,0.0439,9.5,9.5,0.0,3.7,9.5,4113.5,4294.0,180.5,180.5,2511.4,2621.6,110.2,0.0,110.2,,0.6105,0.6105,0.0,4.7083,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,VIC,Independent,57,0,No Promo,No Promo,Baseline trading,None,248,255,7,0.0282,9.5,9.5,0.0,3.7,9.5,2356.0,2422.5,66.5,66.5,1438.4,1479.0,40.6,0.0,40.6,,0.6105,0.6105,0.0,4.4737,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,QLD,Woolworths,85,0,No Promo,No Promo,Baseline trading,None,460,455,-5,-0.0109,9.5,9.5,0.0,3.7,9.5,4370.0,4322.5,0.0,-47.5,2668.0,2639.0,-29.0,0.0,-29.0,,0.6105,0.6105,0.0,5.3529,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1006,Energy Drink 4pk,Beverages,VoltMax,QLD,Coles,83,1,Bundle,20-25%,Increase basket size,Bundle execution,485,689,204,0.4206,9.5,7.6,0.2,3.7,7.6,4607.5,5236.4,1550.4,628.9,2813.0,2687.1,-125.9,339.1264,-465.0264,-1.3712,0.6105,0.5132,-9.7368,8.3012,0.0795,16.2142,Low,Adjust depth/mechanic,"Reduce discount depth, change mechanic, or seek better retailer funding",Volume response was not enough to protect margin after promo cost
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,QLD,Independent,56,0,No Promo,No Promo,Baseline trading,None,276,280,4,0.0145,9.5,9.5,0.0,3.7,9.5,2622.0,2660.0,38.0,38.0,1600.8,1624.0,23.2,0.0,23.2,,0.6105,0.6105,0.0,5.0,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,WA,Woolworths,68,0,No Promo,No Promo,Baseline trading,None,371,364,-7,-0.0189,9.5,9.5,0.0,3.7,9.5,3524.5,3458.0,0.0,-66.5,2151.8,2111.2,-40.6,0.0,-40.6,,0.6105,0.6105,0.0,5.3529,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,WA,Coles,64,0,No Promo,No Promo,Baseline trading,None,341,311,-30,-0.088,9.5,9.5,0.0,3.7,9.5,3239.5,2954.5,0.0,-285.0,1977.8,1803.8,-174.0,0.0,-174.0,,0.6105,0.6105,0.0,4.8594,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,WA,Independent,42,0,No Promo,No Promo,Baseline trading,None,173,181,8,0.0462,9.5,9.5,0.0,3.7,9.5,1643.5,1719.5,76.0,76.0,1003.4,1049.8,46.4,0.0,46.4,,0.6105,0.6105,0.0,4.3095,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,SA,Woolworths,52,0,No Promo,No Promo,Baseline trading,None,282,259,-23,-0.0816,9.5,9.5,0.0,3.7,9.5,2679.0,2460.5,0.0,-218.5,1635.6,1502.2,-133.4,0.0,-133.4,,0.6105,0.6105,0.0,4.9808,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,SA,Coles,52,0,No Promo,No Promo,Baseline trading,None,268,277,9,0.0336,9.5,9.5,0.0,3.7,9.5,2546.0,2631.5,85.5,85.5,1554.4,1606.6,52.2,0.0,52.2,,0.6105,0.6105,0.0,5.3269,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Energy Drink 4pk,Beverages,VoltMax,SA,Independent,33,0,No Promo,No Promo,Baseline trading,None,153,154,1,0.0065,9.5,9.5,0.0,3.7,9.5,1453.5,1463.0,9.5,9.5,887.4,893.2,5.8,0.0,5.8,,0.6105,0.6105,0.0,4.6667,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,NSW,Woolworths,114,0,No Promo,No Promo,Baseline trading,None,1352,1232,-120,-0.0888,4.5,4.5,0.0,1.35,4.5,6084.0,5544.0,0.0,-540.0,4258.8,3880.8,-378.0,0.0,-378.0,,0.7,0.7,0.0,10.807,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,NSW,Coles,111,0,No Promo,No Promo,Baseline trading,None,1416,1370,-46,-0.0325,4.5,4.5,0.0,1.35,4.5,6372.0,6165.0,0.0,-207.0,4460.4,4315.5,-144.9,0.0,-144.9,,0.7,0.7,0.0,12.3423,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,NSW,Independent,66,0,No Promo,No Promo,Baseline trading,None,803,824,21,0.0262,4.5,4.5,0.0,1.35,4.5,3613.5,3708.0,94.5,94.5,2529.45,2595.6,66.15,0.0,66.15,,0.7,0.7,0.0,12.4848,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1007,Potato Chips 175g,Snacks,CrunchyCo,VIC,Woolworths,100,1,Price Discount,10-15%,Defend share,Shelf price ticket,1261,2372,1111,0.881,4.5,3.82,0.15,1.35,3.82,5674.5,9061.04,4244.02,3386.54,3972.15,5858.84,1886.69,450.7207,1435.9693,3.1859,0.7,0.6466,-5.3403,23.72,0.1542,171.3452,Medium,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,VIC,Coles,88,0,No Promo,No Promo,Baseline trading,None,1146,1284,138,0.1204,4.5,4.5,0.0,1.35,4.5,5157.0,5778.0,621.0,621.0,3609.9,4044.6,434.7,0.0,434.7,,0.7,0.7,0.0,14.5909,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1008,Potato Chips 175g,Snacks,CrunchyCo,VIC,Independent,62,1,Bundle,10-15%,Clear stock,Bundle execution,506,731,225,0.4447,4.5,3.82,0.15,1.35,3.82,2277.0,2792.42,859.5,515.42,1593.9,1805.57,211.67,146.1757,65.4943,0.4481,0.7,0.6466,-5.3403,11.7903,0.104,23.401,Medium,Targeted repeat,Repeat selectively in strongest regions or accounts,Positive result but best suited to targeted execution
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,QLD,Woolworths,86,0,No Promo,No Promo,Baseline trading,None,1267,1301,34,0.0268,4.5,4.5,0.0,1.35,4.5,5701.5,5854.5,153.0,153.0,3991.05,4098.15,107.1,0.0,107.1,,0.7,0.7,0.0,15.1279,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,QLD,Coles,83,0,No Promo,No Promo,Baseline trading,None,1103,1155,52,0.0471,4.5,4.5,0.0,1.35,4.5,4963.5,5197.5,234.0,234.0,3474.45,3638.25,163.8,0.0,163.8,,0.7,0.7,0.0,13.9157,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,QLD,Independent,51,0,No Promo,No Promo,Baseline trading,None,583,581,-2,-0.0034,4.5,4.5,0.0,1.35,4.5,2623.5,2614.5,0.0,-9.0,1836.45,1830.15,-6.3,0.0,-6.3,,0.7,0.7,0.0,11.3922,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,WA,Woolworths,66,0,No Promo,No Promo,Baseline trading,None,869,902,33,0.038,4.5,4.5,0.0,1.35,4.5,3910.5,4059.0,148.5,148.5,2737.35,2841.3,103.95,0.0,103.95,,0.7,0.7,0.0,13.6667,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,WA,Coles,67,0,No Promo,No Promo,Baseline trading,None,902,872,-30,-0.0333,4.5,4.5,0.0,1.35,4.5,4059.0,3924.0,0.0,-135.0,2841.3,2746.8,-94.5,0.0,-94.5,,0.7,0.7,0.0,13.0149,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1009,Potato Chips 175g,Snacks,CrunchyCo,WA,Independent,43,1,Multi-buy,20-25%,Increase basket size,Multi-buy shelf execution,421,1059,638,1.5154,4.5,3.38,0.25,1.35,3.38,1894.5,3579.42,2156.44,1684.92,1326.15,2149.77,823.62,402.7371,420.8829,1.0451,0.7,0.6006,-9.9408,24.6279,0.1187,75.7121,Medium,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,SA,Woolworths,58,0,No Promo,No Promo,Baseline trading,None,677,736,59,0.0871,4.5,4.5,0.0,1.35,4.5,3046.5,3312.0,265.5,265.5,2132.55,2318.4,185.85,0.0,185.85,,0.7,0.7,0.0,12.6897,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,No Promo,Potato Chips 175g,Snacks,CrunchyCo,SA,Coles,49,0,No Promo,No Promo,Baseline trading,None,550,555,5,0.0091,4.5,4.5,0.0,1.35,4.5,2475.0,2497.5,22.5,22.5,1732.5,1748.25,15.75,0.0,15.75,,0.7,0.7,0.0,11.3265,0.0,0.0,N/A,Baseline,Monitor baseline performance,Non-promotional baseline trading period
2025-01-06,1,Jan,Q1,PR-1010,Potato Chips 175g,Snacks,CrunchyCo,SA,Independent,31,1,Display + Discount,10-15%,Support key account plan,Display + catalogue,344,614,270,0.7849,4.5,4.05,0.1,1.35,4.05,1548.0,2486.7,1093.5,938.7,1083.6,1657.8,574.2,564.4247,9.7753,0.0173,0.7,0.6667,-3.3333,19.8065,0.1367,36.9072,Medium,Targeted repeat,Repeat selectively in strongest regions or accounts,Positive result but best suited to targeted execution
2025-01-06,1,Jan,Q1,PR-1011,Chocolate Block 180g,Snacks,SweetPeak,NSW,Woolworths,111,1,Multi-buy,10-15%,Drive multi-unit purchase,Multi-buy shelf execution,1201,2207,1006,0.8376,5.2,4.42,0.15,1.6,4.42,6245.2,9754.94,4446.52,3509.74,4323.6,6223.74,1900.14,358.5833,1541.5567,4.299,0.6923,0.638,-5.4299,19.8829,0.1673,168.3473,Medium,Repeat,Rebook mechanic in next promotional cycle,Strong ROI and profitable uplift with manageable risk
